title,artist,num_artists,artists_followers,artists_popularity,num_sections,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,fade_in,fade_out,time_signature,explicit,popularity,genre,date,liked
Bright Eyes,RONDÉ,1,36456,51,7,0.672,0.834,6,-4.871,0,0.0547,0.149,0,0.0619,0.766,123.977,171227,0.39469,167.14883,4,False,62,dutch indie,2022-09-23,No
50 Ways to Say Goodbye,Train,1,4299328,72,11,0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,247947,0.37782,237.64462,4,False,70,dance pop,2012-04-17,No
Where We Belong,Equalize,2,309.5,16,9,0.513,0.504,1,-7.302,0,0.0304,0.263,0.0576,0.0792,0.267,172.037,230269,2.40907,224.06094,4,False,35,desconocido,2017-01-09,No
Without Me,Eminem,1,72105465,90,12,0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,290320,0.0,280.97305,4,True,90,detroit hip hop,2002-05-26,No
Hey (I Miss You),Armin van Buuren,2,2136948,61.5,7,0.615,0.88,5,-3.717,1,0.0355,0.000376,0.000966,0.046,0.43,120.044,199523,0.0,195.7326,4,False,46,dutch trance,2022-10-14,No
you were there for me,Henry Moodie,1,117845,60,11,0.571,0.845,6,-4.4,1,0.0595,0.0549,5.5e-05,0.081,0.409,163.884,195365,2.82122,190.1366,4,False,73,desconocido,2022-08-09,No
Steps,Krimsonn,1,5208,32,7,0.682,0.948,9,-3.325,0,0.0669,0.0108,0,0.175,0.746,104.008,146827,0.27923,142.73888,4,False,48,desconocido,2020-06-26,No
Face Down,The Red Jumpsuit Apparatus,1,1280989,62,5,0.545,0.932,7,-2.189,0,0.0399,0.000665,0,0.127,0.464,92.956,192000,0.11007,185.64934,4,False,78,alternative metal,2006-01-01,No
Danca Da Maozinha,Tchakabum,1,187252,56,7,0.576,0.887,2,-7.382,1,0.123,0.231,0.11,0.951,0.607,98.817,230920,0.0,230.92,4,False,58,axe,2016-02-03,No
Glow,"Jason Parris, Hero DeLano, Peter Barker",1,4,0,12,0.694,0.686,5,-8.027,1,0.0338,0.177,0,0.148,0.592,99.03,218182,0.0,212.88635,4,False,0,desconocido,2019-05-22,No
